technologie,rating,category
JavaScript,5,Frontend
TypeScript,5,Frontend
Angular,4,Frontend
React,5,Frontend
Redux,5,Frontend
Swift,3,Frontend
Android,3,Frontend
React-Testing-Library,5,Frontend
Jest,5,Frontend
JUnit,4,Frontend
jQuery,4,Frontend
Java,5,Backend
Node.js,4,Backend
Spring,4,Backend
Git,5,Backend
REST,5,Backend
Firebase,5,Backend
Maven,4,Backend
Visual Studio Code,5,Other
IntelliJ,4,Other
Eclipse,4,Other
XCode,4,Other
Scrum,5,Other
CI /CD,4,Other
Atlassian Tools,4,Other
Final Cut Pro,5,Media
Cubase Pro,4,Media
Guitar Pro,4,Media
Gimp,5,Media
